Order Date,Ship Date,Customer ID,Customer Name,Product ID,Product Name,Category,Sub-Category,Sale Price,Quantity,Discount,Turnover,Ship Mode,Segment,City,State,Region,Country,Postal Code
11-08-2016,11-11-2016,CG-12520,Claire Gute,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,261.96,2,0,523.92,Second Class,Consumer,Henderson,Kentucky,South,United States,42420
11-08-2016,11-11-2016,CG-12520,Claire Gute,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,731.94,3,0,2195.82,Second Class,Consumer,Henderson,Kentucky,South,United States,42420
06-12-2016,06/16/2016,DV-13045,Darrin Van Huff,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,14.62,2,0,29.24,Second Class,Corporate,Los Angeles,California,West,United States,90036
10-11-2015,10/18/2015,SO-20335,Sean O'Donnell,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,957.5775,5,0.45,4787.8875,Standard Class,Consumer,Fort Lauderdale,Florida,South,United States,33311
10-11-2015,10/18/2015,SO-20335,Sean O'Donnell,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,22.368,2,0.2,44.736,Standard Class,Consumer,Fort Lauderdale,Florida,South,United States,33311
06-09-2014,06/14/2014,BH-11710,Brosina Hoffman,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,48.86,7,0,342.02,Standard Class,Consumer,Los Angeles,California,West,United States,90032
06-09-2014,06/14/2014,BH-11710,Brosina Hoffman,OFF-AR-10002833,Newell 322,Office Supplies,Art,7.28,4,0,29.12,Standard Class,Consumer,Los Angeles,California,West,United States,90032
06-09-2014,06/14/2014,BH-11710,Brosina Hoffman,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,907.152,6,0.2,5442.912,Standard Class,Consumer,Los Angeles,California,West,United States,90032
06-09-2014,06/14/2014,BH-11710,Brosina Hoffman,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,18.504,3,0.2,55.512,Standard Class,Consumer,Los Angeles,California,West,United States,90032
06-09-2014,06/14/2014,BH-11710,Brosina Hoffman,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,114.9,5,0,574.5,Standard Class,Consumer,Los Angeles,California,West,United States,90032
06-09-2014,06/14/2014,BH-11710,Brosina Hoffman,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,1706.184,9,0.2,15355.656,Standard Class,Consumer,Los Angeles,California,West,United States,90032
06-09-2014,06/14/2014,BH-11710,Brosina Hoffman,TEC-PH-10002033,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,Technology,Phones,911.424,4,0.2,3645.696,Standard Class,Consumer,Los Angeles,California,West,United States,90032
04/15/2017,04/20/2017,AA-10480,Andrew Allen,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,15.552,3,0.2,46.656,Standard Class,Consumer,Concord,North Carolina,South,United States,28027
12-05-2016,12-10-2016,IM-15070,Irene Maddox,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,407.976,3,0.2,1223.928,Standard Class,Consumer,Seattle,Washington,West,United States,98103
11/22/2015,11/26/2015,HP-14815,Harold Pawlan,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,68.81,5,0.8,344.05,Standard Class,Home Office,Fort Worth,Texas,Central,United States,76106
11/22/2015,11/26/2015,HP-14815,Harold Pawlan,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,2.544,3,0.8,7.632,Standard Class,Home Office,Fort Worth,Texas,Central,United States,76106
11-11-2014,11/18/2014,PK-19075,Pete Kriz,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,665.88,6,0,3995.28,Standard Class,Consumer,Madison,Wisconsin,Central,United States,53711
05/13/2014,05/15/2014,AG-10270,Alejandro Grove,OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,55.5,2,0,111,Second Class,Consumer,West Jordan,Utah,West,United States,84084
08/27/2014,09-01-2014,ZD-21925,Zuschuss Donatelli,OFF-AR-10003056,Newell 341,Office Supplies,Art,8.56,2,0,17.12,Second Class,Consumer,San Francisco,California,West,United States,94109
08/27/2014,09-01-2014,ZD-21925,Zuschuss Donatelli,TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,213.48,3,0.2,640.44,Second Class,Consumer,San Francisco,California,West,United States,94109
08/27/2014,09-01-2014,ZD-21925,Zuschuss Donatelli,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,22.72,4,0.2,90.88,Second Class,Consumer,San Francisco,California,West,United States,94109
12-09-2016,12/13/2016,KB-16585,Ken Black,OFF-AR-10000246,Newell 318,Office Supplies,Art,19.46,7,0,136.22,Standard Class,Corporate,Fremont,Nebraska,Central,United States,68025
12-09-2016,12/13/2016,KB-16585,Ken Black,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,60.34,7,0,422.38,Standard Class,Corporate,Fremont,Nebraska,Central,United States,68025
07/16/2017,07/18/2017,SF-20065,Sandra Flanagan,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,71.372,2,0.3,142.744,Second Class,Consumer,Philadelphia,Pennsylvania,East,United States,19140
09/25/2015,09/30/2015,EB-13870,Emily Burns,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,1044.63,3,0,3133.89,Standard Class,Consumer,Orem,Utah,West,United States,84057
01/16/2016,01/20/2016,EH-13945,Eric Hoffmann,OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,11.648,2,0.2,23.296,Second Class,Consumer,Los Angeles,California,West,United States,90049
01/16/2016,01/20/2016,EH-13945,Eric Hoffmann,TEC-AC-10003027,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,Technology,Accessories,90.57,3,0,271.71,Second Class,Consumer,Los Angeles,California,West,United States,90049
09/17/2015,09/21/2015,TB-21520,Tracy Blumstein,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,3083.43,7,0.5,21584.01,Standard Class,Consumer,Philadelphia,Pennsylvania,East,United States,19140
09/17/2015,09/21/2015,TB-21520,Tracy Blumstein,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,9.618,2,0.7,19.236,Standard Class,Consumer,Philadelphia,Pennsylvania,East,United States,19140
09/17/2015,09/21/2015,TB-21520,Tracy Blumstein,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,124.2,3,0.2,372.6,Standard Class,Consumer,Philadelphia,Pennsylvania,East,United States,19140
09/17/2015,09/21/2015,TB-21520,Tracy Blumstein,OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,3.264,2,0.2,6.528,Standard Class,Consumer,Philadelphia,Pennsylvania,East,United States,19140
09/17/2015,09/21/2015,TB-21520,Tracy Blumstein,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,86.304,6,0.2,517.824,Standard Class,Consumer,Philadelphia,Pennsylvania,East,United States,19140
09/17/2015,09/21/2015,TB-21520,Tracy Blumstein,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,6.858,6,0.7,41.148,Standard Class,Consumer,Philadelphia,Pennsylvania,East,United States,19140
09/17/2015,09/21/2015,TB-21520,Tracy Blumstein,OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,15.76,2,0.2,31.52,Standard Class,Consumer,Philadelphia,Pennsylvania,East,United States,19140
10/19/2017,10/23/2017,MA-17560,Matt Abelman,OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,29.472,3,0.2,88.416,Second Class,Home Office,Houston,Texas,Central,United States,77095
12-08-2016,12-10-2016,GH-14485,Gene Hale,TEC-PH-10004977,GE 30524EE4,Technology,Phones,1097.544,7,0.2,7682.808,First Class,Corporate,Richardson,Texas,Central,United States,75080
12-08-2016,12-10-2016,GH-14485,Gene Hale,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,190.92,5,0.6,954.6,First Class,Corporate,Richardson,Texas,Central,United States,75080
12/27/2015,12/31/2015,SN-20710,Steve Nguyen,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,113.328,9,0.2,1019.952,Standard Class,Home Office,Houston,Texas,Central,United States,77041
12/27/2015,12/31/2015,SN-20710,Steve Nguyen,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,532.3992,3,0.32,1597.1976,Standard Class,Home Office,Houston,Texas,Central,United States,77041
12/27/2015,12/31/2015,SN-20710,Steve Nguyen,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,212.058,3,0.3,636.174,Standard Class,Home Office,Houston,Texas,Central,United States,77041
12/27/2015,12/31/2015,SN-20710,Steve Nguyen,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones,371.168,4,0.2,1484.672,Standard Class,Home Office,Houston,Texas,Central,United States,77041
09-10-2017,09/15/2017,LC-16930,Linda Cazamias,TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,147.168,4,0.2,588.672,Standard Class,Corporate,Naperville,Illinois,Central,United States,60540
07/17/2016,07/22/2016,RA-19885,Ruben Ausman,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,77.88,2,0,155.76,Standard Class,Corporate,Los Angeles,California,West,United States,90049
09/19/2017,09/23/2017,ES-14080,Erin Smith,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,95.616,2,0.2,191.232,Standard Class,Corporate,Melbourne,Florida,South,United States,32935
03-11-2016,03/13/2016,ON-18715,Odella Nelson,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,45.98,2,0,91.96,First Class,Corporate,Eagan,Minnesota,Central,United States,55122
03-11-2016,03/13/2016,ON-18715,Odella Nelson,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,17.46,2,0,34.92,First Class,Corporate,Eagan,Minnesota,Central,United States,55122
10/20/2014,10/25/2014,PO-18865,Patrick O'Donnell,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,211.96,4,0,847.84,Second Class,Consumer,Westland,Michigan,Central,United States,48185
06/20/2016,06/25/2016,LH-16900,Lena Hernandez,TEC-AC-10002167,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,Technology,Accessories,45,3,0,135,Standard Class,Consumer,Dover,Delaware,East,United States,19901
06/20/2016,06/25/2016,LH-16900,Lena Hernandez,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,21.8,2,0,43.6,Standard Class,Consumer,Dover,Delaware,East,United States,19901
04/18/2015,04/22/2015,DP-13000,Darren Powers,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,38.22,6,0,229.32,Standard Class,Consumer,New Albany,Indiana,Central,United States,47150
04/18/2015,04/22/2015,DP-13000,Darren Powers,OFF-LA-10002762,Avery 485,Office Supplies,Labels,75.18,6,0,451.08,Standard Class,Consumer,New Albany,Indiana,Central,United States,47150
04/18/2015,04/22/2015,DP-13000,Darren Powers,FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,6.16,2,0,12.32,Standard Class,Consumer,New Albany,Indiana,Central,United States,47150
04/18/2015,04/22/2015,DP-13000,Darren Powers,FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,89.99,1,0,89.99,Standard Class,Consumer,New Albany,Indiana,Central,United States,47150
12-11-2016,12/17/2016,JM-15265,Janet Molinari,OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,15.26,7,0,106.82,Standard Class,Corporate,New York City,New York,East,United States,10024
12-11-2016,12/17/2016,JM-15265,Janet Molinari,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,1029.95,5,0,5149.75,Standard Class,Corporate,New York City,New York,East,United States,10024
06/17/2016,06/18/2016,TB-21055,Ted Butterfield,OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage,208.56,6,0,1251.36,First Class,Consumer,Troy,New York,East,United States,12180
06/17/2016,06/18/2016,TB-21055,Ted Butterfield,OFF-PA-10001569,Xerox 232,Office Supplies,Paper,32.4,5,0,162,First Class,Consumer,Troy,New York,East,United States,12180
06/17/2016,06/18/2016,TB-21055,Ted Butterfield,FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,319.41,5,0.1,1597.05,First Class,Consumer,Troy,New York,East,United States,12180
06/17/2016,06/18/2016,TB-21055,Ted Butterfield,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,14.56,2,0,29.12,First Class,Consumer,Troy,New York,East,United States,12180
06/17/2016,06/18/2016,TB-21055,Ted Butterfield,TEC-AC-10002167,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,Technology,Accessories,30,2,0,60,First Class,Consumer,Troy,New York,East,United States,12180
06/17/2016,06/18/2016,TB-21055,Ted Butterfield,OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,48.48,4,0.2,193.92,First Class,Consumer,Troy,New York,East,United States,12180
06/17/2016,06/18/2016,TB-21055,Ted Butterfield,OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,1.68,1,0,1.68,First Class,Consumer,Troy,New York,East,United States,12180
11/24/2015,11/30/2015,KM-16720,Kunst Miller,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,13.98,2,0,27.96,Standard Class,Consumer,Los Angeles,California,West,United States,90004
11/24/2015,11/30/2015,KM-16720,Kunst Miller,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,25.824,6,0.2,154.944,Standard Class,Consumer,Los Angeles,California,West,United States,90004
11/24/2015,11/30/2015,KM-16720,Kunst Miller,OFF-PA-10003892,Xerox 1943,Office Supplies,Paper,146.73,3,0,440.19,Standard Class,Consumer,Los Angeles,California,West,United States,90004
11/24/2015,11/30/2015,KM-16720,Kunst Miller,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,79.76,4,0,319.04,Standard Class,Consumer,Los Angeles,California,West,United States,90004
04/30/2015,05-05-2015,PS-18970,Paul Stevenson,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,213.115,5,0.3,1065.575,Standard Class,Home Office,Chicago,Illinois,Central,United States,60610
12-05-2014,12-10-2014,BS-11590,Brendan Sweed,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,1113.024,8,0.2,8904.192,Standard Class,Corporate,Gilbert,Arizona,West,United States,85234
12-05-2014,12-10-2014,BS-11590,Brendan Sweed,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,167.968,4,0.2,671.872,Standard Class,Corporate,Gilbert,Arizona,West,United States,85234
06-04-2016,06-06-2016,KD-16270,Karen Daniels,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,75.88,2,0,151.76,First Class,Consumer,Springfield,Virginia,South,United States,22153
09/18/2016,09/23/2016,HM-14980,Henry MacAllister,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,4.616,1,0.2,4.616,Standard Class,Consumer,New York City,New York,East,United States,10009
09/14/2017,09/17/2017,TB-21520,Tracy Blumstein,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,19.05,3,0,57.15,Second Class,Consumer,Jackson,Michigan,Central,United States,49201
04/26/2015,05-02-2015,JE-15745,Joel Eaton,FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,831.936,8,0.2,6655.488,Standard Class,Consumer,Memphis,Tennessee,South,United States,38109
04/26/2015,05-02-2015,JE-15745,Joel Eaton,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,97.04,2,0.2,194.08,Standard Class,Consumer,Memphis,Tennessee,South,United States,38109
04/26/2015,05-02-2015,JE-15745,Joel Eaton,OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,72.784,1,0.2,72.784,Standard Class,Consumer,Memphis,Tennessee,South,United States,38109
12-09-2017,12-11-2017,KB-16600,Ken Brennan,OFF-BI-10004182,Economy Binders,Office Supplies,Binders,1.248,3,0.8,3.744,First Class,Corporate,Houston,Texas,Central,United States,77041
12-09-2017,12-11-2017,KB-16600,Ken Brennan,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,9.708,3,0.6,29.124,First Class,Corporate,Houston,Texas,Central,United States,77041
12-09-2017,12-11-2017,KB-16600,Ken Brennan,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,27.24,3,0.2,81.72,First Class,Corporate,Houston,Texas,Central,United States,77041
11/26/2014,12-01-2014,JE-15745,Joel Eaton,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,19.3,5,0.6,96.5,Second Class,Consumer,Houston,Texas,Central,United States,77070
06-12-2016,06/15/2016,SC-20770,Stewart Carmichael,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,208.16,1,0,208.16,First Class,Corporate,Decatur,Alabama,South,United States,35601
06-12-2016,06/15/2016,SC-20770,Stewart Carmichael,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,16.74,3,0,50.22,First Class,Corporate,Decatur,Alabama,South,United States,35601
10-12-2014,10/16/2014,DN-13690,Duane Noonan,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,14.9,5,0,74.5,Standard Class,Consumer,San Francisco,California,West,United States,94122
10-12-2014,10/16/2014,DN-13690,Duane Noonan,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,21.39,1,0,21.39,Standard Class,Consumer,San Francisco,California,West,United States,94122
09-03-2015,09-08-2015,JC-16105,Julie Creighton,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,200.984,7,0.2,1406.888,Standard Class,Corporate,Durham,North Carolina,South,United States,27707
11/13/2017,11/16/2017,CS-12400,Christopher Schild,OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,230.376,3,0.2,691.128,First Class,Home Office,Chicago,Illinois,Central,United States,60623
05/28/2017,05/30/2017,PO-18865,Patrick O'Donnell,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Furniture,Chairs,301.96,2,0,603.92,Second Class,Consumer,Columbia,South Carolina,South,United States,29203
10/26/2017,11-02-2017,PG-18895,Paul Gonzalez,TEC-AC-10001998,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,19.99,1,0,19.99,Standard Class,Consumer,Rochester,Minnesota,Central,United States,55901
10/26/2017,11-02-2017,PG-18895,Paul Gonzalez,OFF-LA-10000134,Avery 511,Office Supplies,Labels,6.16,2,0,12.32,Standard Class,Consumer,Rochester,Minnesota,Central,United States,55901
